bhk,price,price_fmt,locality,developer,project,area_sqft,possession,nearest_railway,nearest_hospital,nearest_market,city
2,5500000,55 Lac,Taloja,Laxmi Group Builders,,724.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,5490000,54.9 Lac,Roadpali,Gajra Developers Ltd,Gajra Bhoomi Gardenia,497.0,ready to move,,,,Navi Mumbai
1,6000000,60 Lac,Roadpali,Gajra Developers Ltd,,360.0,ready to move,,,,Navi Mumbai
2,9100000,91 Lac,Kamothe,Gami Group,,828.0,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
2,4100000,41 Lac,New Panvel,GrowHomes,,626.0,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
3,13900000,1.39 Cr,Roadpali,GIRIRAJ DEVELOPERS,a well-connected area of Roadpali,1062.0,ready to move,,,,Navi Mumbai
2,10500000,1.05 Cr,Kamothe,Shanti Enterprises,Hari Heritage,,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
2,9500000,95 Lac,Kamothe,Platinum Group,,745.0,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
2,5500000,55 Lac,Panvel,Arihant Superstructures Ltd.,,648.0,ready to move,Mansarovar Railway Station,Ashtavinayak Hospital,"Orion Mall,",Navi Mumbai
1,6800000,68 Lac,508 sqft,GHP Group,,,ready to move,Pethpada Metro Station|5 minutes,Sri Satya Sai Sanjeevani Hospital,Prime Mall,Navi Mumbai
2,14400000,1.44 Cr,Kharghar,PARADISE GROUP BUILDERS & DEVELOPERS,Kharghar,893.0,ready to move,Pethpada Metro Station|5 minutes,Dolphin Hospital,Zudio,Navi Mumbai
2,9500000,95 Lac,Kharghar,Galaxy Developers,a well-connected area of Kharghar,727.0,ready to move,Pethpada Metro Station|5 minutes,Sri Satya Sai Sanjeevani Hospital,Little World Mall,Navi Mumbai
5,80000000,8 Cr,Palm Beach Road,B G Shirke Group of Companies,,1584.0,ready to move,,PKC Hospital,Vijaylaxmi Super Market,Navi Mumbai
2,11700000,1.17 Cr,Kharghar,Haware Engineers & Builders Pvt Ltd,a well-connected area of Kharghar,467.0,ready to move,Pethpada Metro Station|5 minutes,Medicity Hospital,Little World Mall,Navi Mumbai
2,7600000,76 Lac,Panvel,Vishesh Group,Vishesh Balaji Symphony,,ready to move,Mansarovar Railway Station,Prachin Healthcare Multi-speciality Hospital,Orion Mall,Navi Mumbai
2,9500000,95 Lac,Panvel,Vishesh Group,Panvel,760.0,ready to move,Panvel Junction,Prachin Healthcare Multi-speciality Hospital,Satya Siddhi Market,Navi Mumbai
1,7000000,70 Lac,Panvel,Vishesh Group,,,ready to move,Kalamboli Railway Station,Panacea Hospital,Satya Siddhi Market,Navi Mumbai
1,5450000,54.5 Lac,Panvel,Vishesh Group,,439.0,ready to move,Panvel Railway Station,Prachin Healthcare Multi-speciality Hospital,Orion Mall,Navi Mumbai
2,8200000,82 Lac,New Panvel East,Vishesh Group,New Panvel East is available at the price of ₹82 Lac,,ready to move,Panvel Railway Station,,Miraj Cinema,Navi Mumbai
2,7000000,70 Lac,New Panvel,Vishesh Group,,580.0,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
1,5520000,55.2 Lac,Panvel,Vishesh Group,,439.0,ready to move,Mansarovar Railway Station,New City Hospital,Orion Mall,Navi Mumbai
2,17500000,1.75 Cr,Airoli,Gazara Group,Airoli is available at the price of ₹1,504.0,ready to move,Airoli Metro Station|5 minutes,Navi Mumbai Hospital,DMart Ready,Navi Mumbai
3,13500000,1.35 Cr,Kamothe,Chhadva Developers,Chhadva Galaxy which is a 16 years old construction,1055.0,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
2,8700000,87 Lac,Roadpali,Platinum Group,,713.0,ready to move,,,,Navi Mumbai
1,5900000,59 Lac,Panvel,Vishesh Group,,439.0,ready to move,Kalamboli Railway Station,Panacea Hospital,"Orion Mall,",Navi Mumbai
1,6000000,60 Lac,New Panvel,Vishesh Group,Vishesh Balaji Symphony,454.0,,Khandeshwar Railway Station,,Little World,Navi Mumbai
1,5250000,52.5 Lac,Panvel,Vishesh Group,,,ready to move,Panvel Railway Station,New City Hospital,Miraj Cinema,Navi Mumbai
2,10000000,1 Cr,Panvel,Vishesh Group,a well-connected area of Panvel,760.0,ready to move,Kalamboli Railway Station,Shreyas Multi-Speciality Hospital,"Orion Mall,",Navi Mumbai
3,23000000,2.30 Cr,Kharghar,Paradise Group,,1282.0,ready to move,Pethpada Metro Station|5 minutes,Om Navjeevan Hospital,Zudio,Navi Mumbai
3,22000000,2.20 Cr,Kopar Khairane,Progressive Developers,,720.0,ready to move,Koparkhairane Railway Station,Palm Beach Hospital,Balaji Movieplex,Navi Mumbai
3,15000000,1.50 Cr,Ulwe,Proviso Group,Ulwe is available for purchase at price of ₹1,914.0,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
1,2450000,24.5 Lac,Panvel,Space India,Panvel is available at the price of ₹24,468.0,ready to move,Khandeshwar Railway Station,New City Hospital,Miraj Cinema,Navi Mumbai
3,17500000,1.75 Cr,1296 sqft,Paradise Group,,,ready to move,Pethpada Metro Station|5 minutes,VAMC Hospital,Zudio,Navi Mumbai
3,16800000,1.68 Cr,Roadpali,Platinum Group Builders,,900.0,ready to move,,,,Navi Mumbai
3,16500000,1.65 Cr,Roadpali,Platinum Group Builders,Roadpali,1260.0,ready to move,,,,Navi Mumbai
2,11000000,1.10 Cr,Roadpali,Platinum Group Builders,,958.0,ready to move,,,,Navi Mumbai
2,9000000,90 Lac,Sector 34C Kharghar,Prince Developers,,792.0,ready to move,Kharghar Sector 34 Metro Station|5 minutes,,,Navi Mumbai
1,5300000,53 Lac,Kharghar,Prince Developers,a well-connected area of Kharghar,450.0,ready to move,Pethpada Metro Station|5 minutes,Aayush Hospital,Zudio,Navi Mumbai
2,4700000,47 Lac,Panvel,R W  Construction,,576.0,ready to move,Khandeshwar Railway Station,Shreyas Multi-Speciality Hospital,Ambeka Minimarket,Navi Mumbai
2,4300000,43 Lac,Taloja,Laxmi Group Builders,,641.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,11000000,1.10 Cr,Sector 27 Kharghar,Arihant Superstructures Ltd.,Arihant Krupa,788.0,ready to move,,,,Navi Mumbai
2,10100000,1.01 Cr,Kharghar,Arihant Superstructures Ltd.,Kharghar is available at the price of ₹1,767.0,ready to move,Pethpada Metro Station|5 minutes,Aayush Hospital,Glomax Mall,Navi Mumbai
3,25000000,2.50 Cr,Kharghar,Krishh Developers,,1241.0,ready to move,Pethpada Metro Station|5 minutes,Dolphin Hospital,Little World Mall,Navi Mumbai
2,12200000,1.22 Cr,Kharghar,Paradise Group,a well-connected area of Kharghar,882.0,ready to move,Pethpada Metro Station|5 minutes,Dolphin Hospital,Prime Mall,Navi Mumbai
1,3050000,30.5 Lac,Taloja Panchanand,Balaji Developers,,450.0,ready to move,,,,Navi Mumbai
1,3600000,36 Lac,Taloja Panchanand,Balaji Developers,Taloja Panchanand,450.0,ready to move,,,,Navi Mumbai
1,3500000,35 Lac,Taloja,Panchanand Enterprises,Taloja,457.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,6500000,65 Lac,Ulwe,SHK Developers,a well-connected area of Ulwe,,ready to move,Bamandongri Railway Station,Balaji Hospital,,Navi Mumbai
1,4600000,46 Lac,Taloja,Panchanand Enterprises,,486.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,4000000,40 Lac,497 sqft,Panchanand Enterprises,Panchnand Heights,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,8200000,82 Lac,Kamothe,Shree Laxmi Developers,,,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
2,12500000,1.25 Cr,Sector 34 Kharghar,Fortune Developers,Sector 34 Kharghar is available at the price of ₹1,907.0,ready to move,,Medicity Hospital,More Super Market,Navi Mumbai
3,12500000,1.25 Cr,Sector 34C Kharghar,Fortune Developers,,907.0,ready to move,Kharghar Sector 34 Metro Station|5 minutes,,,Navi Mumbai
1,5795000,58 Lac,Sector 19B Ulwe,Brij Bhoomi Builders,,486.0,ready to move,,,,Navi Mumbai
1,3000000,30 Lac,Taloja,Arihant Group,,374.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,3700000,37 Lac,Taloja,Arihant Group,,655.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,8000000,80 Lac,Taloja Panchanand,Arihant Superstructures Ltd,,745.0,ready to move,,,,Navi Mumbai
2,7200000,72 Lac,Taloja Panchanand,Arihant Superstructures Ltd,,792.0,ready to move,,,,Navi Mumbai
2,7100000,71 Lac,Taloja Panchanand,Arihant Superstructures Ltd,,,ready to move,,,,Navi Mumbai
1,4200000,42 Lac,New Panvel,Bhagchand C. Khubchandani,,,ready to move,Khandeshwar Railway Station,,Apna Cinema,Navi Mumbai
1,4300000,43 Lac,New Panvel,Bhagchand C. Khubchandani,,462.0,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
1,4500000,45 Lac,New Panvel,Bhagchand C. Khubchandani,,,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
2,9000000,90 Lac,New Panvel,Vishesh Group,New Panvel,760.0,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
1,6800000,68 Lac,Kamothe,Radhe Krishna Builders,,360.0,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
2,14000000,1.40 Cr,Panvel,Dudhe Brothers,,792.0,ready to move,"Shree Saibaba Mandir, Nr.Panvel Railway Station.",New City Hospital,Acwe Mall (Best Buy),Navi Mumbai
1,5000000,50 Lac,Ulwe,Dream Developers,Ulwe,478.0,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
3,10500000,1.05 Cr,Sector 19 Kharghar,Anmol Developers,Sector 19 Kharghar,,ready to move,,,,Navi Mumbai
2,9500000,95 Lac,Khandeshwar,Maitri Group,,661.0,ready to move,Khandeshwar Railway Station,Panacea Hospital,,Navi Mumbai
3,15000000,1.50 Cr,Kharghar,Someshwar Builders And Developers,Someshwar Residency,864.0,ready to move,Pethpada Metro Station|5 minutes,Trudiagno,Prime Mall,Navi Mumbai
1,5200000,52 Lac,Kharghar,Navkaar Builder & Developers,Kharghar,396.0,ready to move,Pethpada Metro Station|5 minutes,Trudiagno,Zudio,Navi Mumbai
2,11800000,1.18 Cr,Kharghar,Armstrongs Builder,Kharghar,,ready to move,Pethpada Metro Station|5 minutes,Dolphin Hospital,Prime Mall,Navi Mumbai
3,16000000,1.60 Cr,Kamothe,Sai Prasad Enterprises,,918.0,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
3,9800000,98 Lac,Kamothe,Sai Prasad Enterprises,,720.0,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
1,3500000,35 Lac,Navade,Om Sai Associated,,454.0,ready to move,,,,Navi Mumbai
1,4500000,45 Lac,Karanjade,Satpanth Group,,450.0,ready to move,,,,Navi Mumbai
3,12000000,1.20 Cr,Dronagiri,Akshar Group,,1098.0,ready to move,,,Glomax Shopping Center,Navi Mumbai
2,8000000,80 Lac,Kalamboli,Shree Shagun Developers,,432.0,ready to move,Kalamboli Railway Station,,Ambeka Minimarket,Navi Mumbai
2,9200000,92 Lac,Panvel,Space India,a well-connected area of Panvel,692.0,ready to move,Mansarovar Railway Station,Shreyas Multi-Speciality Hospital,Acwe Mall (Best Buy),Navi Mumbai
2,6000000,60 Lac,Taloja,Arihant Superstructures Ltd.,Taloja is available for purchase at price of ₹60 Lac,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,5200000,52 Lac,Taloja,Arihant Superstructures Ltd.,Arihant Anshula,720.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,6000000,60 Lac,Ghot,Arihant Superstructures Ltd.,Arihant Anshula which is a 9 years old construction,870.0,ready to move,,,,Navi Mumbai
2,5250000,52.5 Lac,Taloja,Arihant Superstructures Ltd.,Taloja is available for purchase at price of ₹52,781.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,3400000,34 Lac,Taloja,Arihant Superstructures Ltd.,,540.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,4800000,48 Lac,Taloja,Arihant Superstructures Ltd.,Taloja is available for purchase at price of ₹48 Lac,1224.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,6500000,65 Lac,total 792 sqft,Arihant Superstructures Ltd.,,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,5300000,53 Lac,Taloja,Arihant Superstructures Ltd.,,781.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,13500000,1.35 Cr,Panvel,Paradise Group,,504.0,ready to move,Panvel Junction,Ashtavinayak Hospital,Ambeka Minimarket,Navi Mumbai
2,5400000,54 Lac,Taloja,Arihant Superstructures Ltd.,,792.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,5275000,52.8 Lac,Panvel,La Mer Developers,,499.0,ready to move,Panvel Railway Station,Ashtavinayak Hospital,Mahalaxmi Mall,Navi Mumbai
1,4000000,40 Lac,Taloja,Arihant Superstructures Ltd,a well-connected area of Taloja,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,3500000,35 Lac,total 453 sqft,Arihant Superstructures Ltd,Arihant Anaika,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,9300000,93 Lac,Sector 36 Kamothe,Cidco,,792.0,ready to move,,B&J Super Speciality Hospital,,Navi Mumbai
2,9900000,99 Lac,total 751 sqft,Cidco,,,ready to move,,B&J Super Speciality Hospital,,Navi Mumbai
2,7500000,75 Lac,Kamothe,Haware Properties,,,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
2,7500000,75 Lac,648 sqft,Haware Properties,,,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
1,8652000,86.5 Lac,Rabale,Raikar Group,,482.0,ready to move,Rabale Railway Station,,"Satra Plaza,",Navi Mumbai
2,8600000,86 Lac,Ulwe,Atlantic Builders & Developers,Ulwe,666.0,ready to move,Gavhan Phata,Balaji Hospital,,Navi Mumbai
1,4500000,45 Lac,Kharghar,Skyline Builders,a well-connected area of Kharghar,453.0,ready to move,Pethpada Metro Station|5 minutes,Dolphin Hospital,Little World Mall,Navi Mumbai
1,3300000,33 Lac,Taloja,Arihant Superstructures Ltd,,462.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,9450000,94.5 Lac,Panvel,La Mer Developers,a well-connected area of Panvel,806.0,ready to move,"Shree Saibaba Mandir, Nr.Panvel Railway Station.",New City Hospital,Miraj Cinema,Navi Mumbai
3,25000000,2.50 Cr,Kopar Khairane,Nirmal Group,,1116.0,ready to move,Kopar Khairane Railway Station,Apex Multispeciality Hospital,DMart,Navi Mumbai
1,5300000,53 Lac,Sector 19 Ulwe,Kuber Laxmi Developers,Sector 19 Ulwe,367.0,ready to move,,,,Navi Mumbai
1,4750000,47.5 Lac,Sector 17 Ulwe,Aditya Projects & Developers,,414.0,ready to move,,,,Navi Mumbai
2,7850000,78.5 Lac,Navade,Om Sai Developers,a well-connected area of Navade,612.0,ready to move,,,,Navi Mumbai
1,3500000,35 Lac,Petali,Twincity Realtors,,,ready to move,,,,Navi Mumbai
2,4800000,48 Lac,Navade,Laxmi Group,Navade,792.0,ready to move,,,,Navi Mumbai
2,14500000,1.45 Cr,Airoli,Shiv Shakti Group,,605.0,ready to move,Airoli Metro Station|5 minutes,Indravati Hospital Rajmata Jijau Hospital,Ripplez Mall,Navi Mumbai
2,13000000,1.30 Cr,Kharghar,Sri Triveni Pvt. Ltd.,,,ready to move,Pethpada Metro Station|5 minutes,VAMC Hospital,Zudio,Navi Mumbai
1,4250000,42.5 Lac,Roadpali,Anchit Group,Roadpali is available for purchase at price of ₹42,420.0,ready to move,,,,Navi Mumbai
3,12000000,1.20 Cr,Kamothe,Bathija Developers,,,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
3,35000000,3.50 Cr,Kharghar,Satyam Developers,Kharghar,1728.0,ready to move,Pethpada Metro Station|5 minutes,Aayush Hospital,Prime Mall,Navi Mumbai
3,22000000,2.20 Cr,Kharghar,Paradise Group,,,ready to move,Pethpada Metro Station|5 minutes,Dolphin Hospital,Prime Mall,Navi Mumbai
2,12435000,1.24 Cr,Ulwe,Tejas Constructions,,828.0,ready to move,Gavhan Phata,Balaji Hospital,,Navi Mumbai
4,45000000,4.50 Cr,Kharghar,Satyam Developers,Satyam Heritage,1728.0,ready to move,Pethpada Metro Station|5 minutes,Dolphin Hospital,Glomax Mall,Navi Mumbai
2,13000000,1.30 Cr,585 sqft,Dhiren Vora Builders,,,ready to move,Ghansoli Railway Station,Credence Care Hospital,Star Market,Navi Mumbai
1,3700000,37 Lac,Taloja,Shubham Builders,Jijai Complex,522.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,4170000,41.7 Lac,Taloja,Shubham Builders,,521.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,5600000,56 Lac,Taloja,Shubham Builders,,756.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,3200000,32 Lac,Taloja,Shubham Builders,,396.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,3350000,33.5 Lac,Taloja,Shubham Builders,,518.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,15000000,1.50 Cr,Panvel,Hiranandani Group,,1044.0,ready to move,Panvel Railway Station,Prachin Healthcare Multi-speciality Hospital,"Orion Mall,",Navi Mumbai
1,7800000,78 Lac,Panvel,Hiranandani Group,Hiranandani Fortune City which is a 10 years old construction,454.0,ready to move,Panvel Junction,Panacea Hospital,Acwe Mall (Best Buy),Navi Mumbai
2,14000000,1.40 Cr,Ghansoli,Bhairaav Group,Bhairaav Goldcrest Residency which is a 11 years old construction,836.0,,Ghansoli Railway Station,Aviva Hospital,DMart,Navi Mumbai
4,16000000,1.60 Cr,Panvel,National Builders,,1354.0,ready to move,Mansarovar Railway Station,Shreyas Multi-Speciality Hospital,Miraj Cinema,Navi Mumbai
2,9000000,90 Lac,Kamothe,Ideal Developers,,760.0,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
1,9500000,95 Lac,Panvel,Hiranandani Group,,402.0,ready to move,Khandeshwar Railway Station,Ashtavinayak Hospital,K Mall,Navi Mumbai
3,21500000,2.15 Cr,Vashi,Cooperative Group Housing Society,Vashi is available for purchase at price of ₹2,,ready to move,Vashi Railway Station,New Era Hospital,Ikea,Navi Mumbai
1,3600000,36 Lac,Taloja,Mahaavir Universal Homes Pvt. Ltd.,,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,3750000,37.5 Lac,Taloja,Mahaavir Universal Homes Pvt. Ltd.,Mahaavir Majesty,516.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,7750000,77.5 Lac,Panvel,Embassy Group,Panvel,932.0,,Khandeshwar Railway Station,New City Hospital,Little World,Navi Mumbai
2,9600000,96 Lac,CBD Belapur,Cooperative Group Housing Society,,559.0,ready to move,C.B.D Belapur Railway Station (East)|5 minutes,Apollo Hospitals,Kalpataru Shopping Complex,Navi Mumbai
2,3640000,36.4 Lac,Ulwe,Shailesh Enterprises,Ulwe,,,Bamandongri Railway Station,Balaji Hospital,,Navi Mumbai
2,8000000,80 Lac,Ulwe,Kukreja Builders,a well-connected area of Ulwe,,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
2,14000000,1.40 Cr,Vashi,Manas Group,Manas 21 which is a 14 years old construction,,ready to move,Vashi Railway Station,Mayuresh Hospital,Big Bazaar,Navi Mumbai
2,7600000,76 Lac,Ulwe,Kukreja Builders,Ulwe,655.0,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
2,11000000,1.10 Cr,Sector 20 Ulwe,Tricity Reality Pvt. Ltd.,,827.0,ready to move,,,,Navi Mumbai
2,13000000,1.30 Cr,Kopar Khairane,Jimmi Builders  Developers,a well-connected area of Kopar Khairane,720.0,ready to move,Koparkhairane Railway Station,Child Maternity Hospital Nirmal Hospital,DMart,Navi Mumbai
1,3890000,38.9 Lac,Taloja,Kamdhenu Realties,,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,4100000,41 Lac,New Panvel,S.P. Construction,,,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
1,3700000,37 Lac,New Panvel,S.P. Construction,,480.0,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
1,8500000,85 Lac,Ulwe,Kricon Group,,288.0,ready to move,Bamandongri Railway Station,Balaji Hospital,,Navi Mumbai
1,4180000,41.8 Lac,Ulwe,Advance Home Makers Group,,454.0,ready to move,Gavhan Phata,Balaji Hospital,,Navi Mumbai
1,4000000,40 Lac,Sector 23 Ulwe,Advance Home Makers Group,,,ready to move,,,,Navi Mumbai
1,4200000,42 Lac,Taloja,Arihant Superstructures Ltd,,,,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,9900000,99 Lac,Old Panvel,Lakhanis Builders,Old Panvel is available at the price of ₹99 Lac,,ready to move,,,"Orion Mall,",Navi Mumbai
1,6400000,64 Lac,Panvel,Lakhanis Builders,Lakhanis La Riveria which is a 11 years old construction,,ready to move,Kalamboli Railway Station,Ashtavinayak Hospital,"Orion Mall,",Navi Mumbai
2,4600000,46 Lac,Panvel,Radhey Properties Builders,,,ready to move,Panvel Railway Station,Shreyas Multi-Speciality Hospital,Miraj Cinema,Navi Mumbai
2,9600000,96 Lac,Kharghar,Raikar Group,Sujata Empress,731.0,ready to move,Pethpada Metro Station|5 minutes,Rajgobind Nursing Home,Zudio,Navi Mumbai
2,9400000,94 Lac,Kharghar,Fortune Developers,,752.0,ready to move,Pethpada Metro Station|5 minutes,VAMC Hospital,Little World Mall,Navi Mumbai
1,6000000,60 Lac,Taloja,Paradise Group,,497.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,6500000,65 Lac,Taloja,Paradise Group,Taloja,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,5200000,52 Lac,Roadpali,PATEL GROUP & CO.,Roadpali,461.0,ready to move,,,,Navi Mumbai
1,5000000,50 Lac,Karanjade,Anju Enterprise,,405.0,ready to move,,,,Navi Mumbai
1,2300000,23 Lac,Wahal,MD Group,,500.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
3,37500000,3.75 Cr,Nerul,Greenscape Developers Pvt. Ltd.,,1340.0,ready to move,,Terna Speciality Hospital & Research Centre,Bluestone Seawoods Grand Central Mall,Navi Mumbai
3,17000000,1.70 Cr,Panvel,Indiabulls Real Estate Ltd.,,,ready to move,"Shree Saibaba Mandir, Nr.Panvel Railway Station.",Shreyas Multi-Speciality Hospital,Little World,Navi Mumbai
2,8400000,84 Lac,Panvel,Haware Properties,,,ready to move,Panvel Railway Station,Panacea Hospital,Little World,Navi Mumbai
1,4600000,46 Lac,New Panvel,Prayag Builders and Developers,Prayag Meadows Phase L,,ready to move,Khandeshwar Railway Station,,Apna Cinema,Navi Mumbai
1,2600000,26 Lac,Taloja,Sai Shraddha Developers,,307.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,7200000,72 Lac,Old Panvel,Godrej Properties,,540.0,ready to move,,,K Mall,Navi Mumbai
1,4100000,41 Lac,Taloja,SM Developers,Taloja is available at the price of ₹41 Lac,475.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
2,6800000,68 Lac,Taloja,City Buildcon,,778.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,3900000,39 Lac,360 sqft,Shree Chinmay Gaurang Infrastructure,,,ready to move,Kalamboli Railway Station,Ashtavinayak Hospital,Miraj Cinema,Navi Mumbai
1,4200000,42 Lac,Kharghar,Cooperative Group Housing Society,,360.0,ready to move,Pethpada Metro Station,Dolphin Hospital,More Super Market,Navi Mumbai
1,6200000,62 Lac,Panvel,Arihant Superstructures Ltd.,,394.0,,"Shree Saibaba Mandir, Nr.Panvel Railway Station.",Prachin Healthcare Multi-speciality Hospital,K Mall,Navi Mumbai
1,6300000,63 Lac,Panvel,Future Homes Construction,,330.0,ready to move,Panvel Railway Station,Ashtavinayak Hospital,Little World,Navi Mumbai
1,5625000,56.3 Lac,Panvel,Future Homes Construction,,330.0,ready to move,Panvel Junction,Shreyas Multi-Speciality Hospital,K Mall,Navi Mumbai
2,12500000,1.25 Cr,Kharghar,Adhiraj Constructions Pvt. Ltd.,Kharghar is available at the price of ₹1,,,Pethpada Metro Station|5 minutes,Aayush Hospital,Little World Mall,Navi Mumbai
3,12500000,1.25 Cr,Kamothe,Cooperative Group Housing Society,,1102.0,ready to move,,B&J Super Speciality Hospital,Mahalaxmi Mall,Navi Mumbai
1,5300000,53 Lac,Taloja,Qualitas Naman Group,Taloja is available at the price of ₹53 Lac,515.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,3650000,36.5 Lac,Taloja,Qualitas Naman Group,Qn Greens,507.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,3800000,38 Lac,Taloja,Qualitas Naman Group,,,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
1,3900000,39 Lac,New Panvel,Supreme Holdings & Hospitality India Ltd.,Belmac Riverside which is a 8 years old construction,432.0,ready to move,Khandeshwar Railway Station,,Little World,Navi Mumbai
2,12500000,1.25 Cr,Kalamboli,Regency Group,a well-connected area of Kalamboli,864.0,ready to move,Kalamboli Railway Station,,Satya Siddhi Market,Navi Mumbai
2,11000000,1.10 Cr,Kalamboli,Regency Group,a well-connected area of Kalamboli,,ready to move,Kalamboli Railway Station,,Satya Siddhi Market,Navi Mumbai
2,3500000,35 Lac,Rasayani,Akshar Developers,,,,Rasayani Train Station,,The Seawoods Mall,Navi Mumbai
2,14000000,1.40 Cr,Ulwe,Platinum Group,,850.0,ready to move,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
1,13000000,1.30 Cr,Ghansoli,Aurum Platz IT Pvt Ltd,,552.0,,Ghansoli Railway Station,Credence Care Hospital,DMart,Navi Mumbai
2,7000000,70 Lac,Kharghar,Cooperative Group Housing Society,Kharghar is available at the price of ₹70 Lac,551.0,ready to move,Pethpada Metro Station,Medicity Hospital,Zudio,Navi Mumbai
3,40000000,4 Cr,Sanpada,Kamdhenu Realities,Sanpada,,ready to move,Juinagar Railway Station,MPCT Hospital,D-Mart Juinagar,Navi Mumbai
2,8500000,85 Lac,Taloja,Shining Sun Constructions,,576.0,ready to move,Metro Station Taloja|5 minutes,Ayesha Hospital,,Navi Mumbai
